,identifier,controller_0,controller_1,controller_2,controller_3,behavior_0,behavior_1,behavior_2,behavior_3,behavior_4,behavior_5,behavior_6
119,248,6.723948804139366,0.18836415253336924,0.3718629132301965,-0.09507870585672795,0.8599123790535773,-0.1936240466056943,0.01980137718430879,0.053357132573427134,-0.8481685732923298,257.0,0.0737902271674926
120,249,8.8670490360712,-0.9651420447484018,9.07397132254545,-0.001114054735397385,2.259310654174068,0.3543508127083389,1.644690355869542e-05,0.024734123504970517,2.253217097118955,132.0,0.0355774989678893
121,250,2.233806768085791,-0.6422405866866927,-4.924810267315973,0.5964846750032347,0.7915682903869752,0.04572947058275452,0.2805900075599511,0.4106400281053032,0.05359441076857216,9.0,0.5011015954935254
122,254,5.536614387256639,-0.9950447857342768,8.579095259106778,0.33092623697954515,1.8738028621275415,0.29915860412175904,7.140533025260711e-06,0.02572450143860718,1.865668279266036,328.0,0.03700271768818668
123,256,8.456387389784794,0.4570570037206094,-4.775125911268294,-0.8680403949222331,1.8207463233769143,-0.3927875880679396,0.0016443014345682119,0.1366341380552377,-1.063873529696703,61.0,0.1963230038607626
124,257,5.7169495375821855,-0.7739797650158202,8.8778218622484,0.9020679031358845,1.746312389463626,0.3600459072652778,5.559640326620879e-05,0.04317194548835648,1.7335017273534303,64.0,0.062090566910872315
125,259,3.839807114112257,0.497159495387687,7.703640247637273,0.4007888092208314,0.6167124042534312,-0.037161796012493746,0.19673786890299186,0.08431825291450179,-0.1031748918920292,3825.0,0.04871815961074535
126,261,-3.3265809650863076,0.6152202763655574,-6.121147046869611,0.4066331256957232,0.6245869990643197,-0.0582204534944754,0.36568517889616375,0.3683351010095551,-0.09323087199846203,0.0,0.5296337358583046
127,262,-6.048040793082794,-0.8129292295042221,1.8970903498009495,0.9159558664579235,0.572271792398471,-0.14694442879470793,0.5298352730804684,0.48803558319437057,-0.2368326924362853,203.0,0.5838147449671848
128,263,0.9569894601656759,-0.42006540464078856,7.6582567870624025,-0.3565605121047941,0.7268339742905766,0.07405776040147012,0.03708572667585769,0.01647549780454298,0.521684024448159,2104.0,0.023735545074739475
